station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
173,Paddington,BOD,City of Westminster,1,1 Oct 1868,46.65,Paddington,https://www.google.com/maps?q=Paddington+Underground+station
174,Paddington,OH,City of Westminster,1,10 Jan 1863,46.65,Paddington,https://www.google.com/maps?q=Paddington+Underground+station
175,Park Royal,P,Ealing,3,23 Jun 1903,1.65,Park Royal,https://www.google.com/maps?q=Park+Royal+Underground+station
176,Parsons Green,D,Hammersmith and Fulham,2,1 Mar 1880,5.03,Parsons Green,https://www.google.com/maps?q=Parsons+Green+Underground+station
177,Perivale,C,Ealing,4,30 Jun 1947,1.69,Perivale,https://www.google.com/maps?q=Perivale+Underground+station
178,Piccadilly Circus,BP,City of Westminster,1,10 Mar 1906,27.68,West End,https://www.google.com/maps?q=Piccadilly+Circus+Underground+station
179,Pimlico,V,City of Westminster,1,14 Sep 1972,6.93,Pimlico,https://www.google.com/maps?q=Pimlico+Underground+station
180,Pinner,M,Harrow,5,25 May 1885,2.11,Pinner,https://www.google.com/maps?q=Pinner+Underground+station
181,Plaistow,DH,Newham,3,2 Jun 1902,4.01,Plaistow,https://www.google.com/maps?q=Plaistow+Underground+station
182,Preston Road,M,Brent,4,21 May 1908,2.3,Preston,https://www.google.com/maps?q=Preston+Road+Underground+station
183,Putney Bridge,D,Hammersmith and Fulham,2,1 Mar 1880,4.81,Fulham,https://www.google.com/maps?q=Putney+Bridge+Underground+station
184,Queen's Park,B,Brent,2,11 Feb 1915,4.15,Queen's Park,https://www.google.com/maps?q=Queen's+Park+Underground+station
185,Queensbury,J,Brent,4,16 Dec 1934,3.07,Queensbury,https://www.google.com/maps?q=Queensbury+Underground+station
186,Queensway,C,City of Westminster,1,30 Jul 1900,6.52,Bayswater,https://www.google.com/maps?q=Queensway+Underground+station
187,Ravenscourt Park,D,Hammersmith and Fulham,2,1 Jun 1877,2.58,Hammersmith,https://www.google.com/maps?q=Ravenscourt+Park+Underground+station
